index,sensitivity,specificity,precision,number,season
ADO_DSC_SI03_0148,0.16666666666666666,0.967479674796748,0.7037037037037037,114.0,0
ADO_DSC_SI03_0148,0.37168141592920356,1.0,1.0,113.0,1
ADO_DSC_SI03_0148,0.5375,0.9583333333333334,0.7818181818181819,80.0,2
ADO_DSC_SI03_0148,0.10869565217391304,0.9779411764705882,0.625,92.0,3
ADO_DSC_ITC1_0072,0.7571428571428571,0.9246231155778895,0.7794117647058824,70.0,0
ADO_DSC_ITC1_0072,0.03225806451612903,0.9959016393442623,0.5,31.0,1
ADO_DSC_ITC1_0072,1.0,0.9363295880149812,0.10526315789473684,2.0,2
ADO_DSC_ITC1_0072,0.13513513513513514,1.0,1.0,74.0,3
ADO_DSC_ITH1_0012,0.0,0.9779874213836478,0.0,68.0,0
ADO_DSC_ITH1_0012,0.12345679012345678,0.990726429675425,0.625,81.0,1
ADO_DSC_ITH1_0012,0.41714285714285715,0.9819168173598554,0.8795180722891566,175.0,2
ADO_DSC_ITH1_0012,0.0,1.0,,48.0,3
ADO_DSC_ITH5_0006,0.375,0.9339622641509434,0.5333333333333333,64.0,0
ADO_DSC_ITH5_0006,0.3402061855670103,0.967741935483871,0.8048780487804879,97.0,1
ADO_DSC_ITH5_0006,0.9069767441860465,0.9214285714285714,0.639344262295082,43.0,2
ADO_DSC_ITH5_0006,0.3741935483870968,0.9622641509433962,0.8787878787878788,155.0,3
