,true_runoff,runoff_clim,trueTP,climTP_lt1,climTP_lt1_Q25,climTP_lt1_Q75,split,climTP_lt2,climTP_lt2_Q25,climTP_lt2_Q75,climTP_lt3,climTP_lt3_Q25,climTP_lt3_Q75,climTP_lt4,climTP_lt4_Q25,climTP_lt4_Q75,climTP_lt5,climTP_lt5_Q25,climTP_lt5_Q75
2014-01-02,14.638333333333334,11.463380952380955,14.08594702487353,12.835991168348674,11.075262209651266,13.809868915809076,0,13.904653539681105,7.3804267068110825,19.01356171132756,12.674308044212108,5.01863580889502,18.463811384892054,12.999919953086785,4.339190526777308,19.137605311574337,13.562680136894912,4.030425607569914,20.760754031254404
2014-01-03,14.258333333333333,11.157404761904761,13.932208381148662,12.451967512103725,10.726955099637554,13.379275130963613,0,13.322461164206697,7.173886009372891,18.27322086564748,13.008979491601284,5.719537118157531,18.574830891142653,12.696455655338104,4.387009715619145,19.31413698915111,13.318923576362181,4.229609727738277,20.980405068070212
2014-01-04,13.933666666666666,10.894285714285715,14.098565211780116,12.544711062104351,10.92158916503758,13.501489610890701,0,13.072677395902158,7.412855677051292,17.617363520985105,13.000493592779463,5.969857794836047,18.246171700091,12.563911668376006,4.565058870316415,18.618292341557254,13.732793062830044,4.71212107622854,21.138960710380864
2014-01-05,13.678666666666667,10.647333333333332,14.650771748331834,12.348822505443854,11.037759683593725,13.011283898537641,0,12.82884210904074,8.198829836852003,16.04809979530551,13.045221858931608,6.549188492666577,17.835501305679966,12.494634129448679,5.257109832979493,17.805370326151145,14.5912404523181,5.779569855480068,21.574370201526488
2014-01-06,13.453666666666667,10.406071428571428,14.187067730395263,11.937902994548624,10.562083766511568,12.411453880445299,0,12.18277598180081,7.744774262857831,15.532211464984652,12.764602118099235,6.250997960700111,17.416197363791753,12.480847909113535,5.314182359553682,17.59840677028068,14.200929874751576,5.593397668770788,20.637632104084897
2014-01-07,13.226333333333333,10.220357142857141,14.040112084732595,11.659890497005398,10.180688021962885,11.974840137399326,0,11.792647085026962,7.3415961463340444,14.979136625127317,12.42708797263694,5.869768226619264,16.809297491171954,12.311000384671832,4.886968843995744,17.36813982287336,13.729443959695208,5.0822124384155405,20.04567399825418
2014-01-08,12.956333333333333,10.275595238095237,13.914516338465623,11.607937235869606,9.900397166053022,12.182945843287104,0,12.11838610873245,7.456038977345733,15.684947686268544,12.5225244626564,5.687728802478171,17.299331793383583,12.311129355061174,4.656606712040093,17.884484899352866,13.565307443260748,4.786092141237125,20.481109163475537
2014-01-09,12.735666666666667,10.57652380952381,13.756753134334582,11.755972829581388,9.824178398678429,12.313802161603151,0,12.373022748274401,7.590460127258373,15.621453842922623,12.795545476839626,5.879974071830594,17.556358997400093,12.510283046112065,4.919074780874629,17.882496212562504,13.578837418142411,4.880716936515084,20.300895860187186
2014-01-10,12.555333333333333,10.583,13.498424675344346,11.444728844997051,9.553499964551062,12.309730397863868,0,12.594253687682338,8.407916910490865,15.704282692688054,13.142634355406921,6.7886383999594155,18.094398988226292,12.317768518900266,5.576099898653725,17.720608798645436,13.16959427909155,5.367372546761768,20.00992128075841
2014-01-11,12.365666666666666,10.522357142857143,12.731667204244708,10.636856129900844,9.025676997518415,11.421457023532476,0,11.649375437018952,8.02044811147402,13.803372537050805,12.59358612869211,6.7525437403415705,17.08321360405014,11.520249020782433,5.4351022963948505,16.56668890454198,12.2252083871395,5.038346781866384,18.36172287363587
2014-01-12,12.152,10.459880952380953,12.156730647400247,10.195488993314816,8.810370448418048,10.77261081879524,0,11.139919584460245,7.640563809819071,12.736830795195857,12.11899167038997,6.4894525219359664,15.9504035381669,11.090330734897195,5.403853349353858,15.538296968622559,11.831353512739032,5.1192376565151445,17.66760498962503
2014-01-13,11.981,10.31747619047619,11.859472979503419,9.895443924298489,8.492824767011063,10.27822619737453,0,10.81231200106316,7.473235446525585,12.105269108179948,11.735671369268417,6.3192498085013185,15.145239679967432,10.753274762156849,5.287778302599001,14.767476618454987,11.313195737477505,4.9326812137393645,16.711946065224993
2014-01-14,11.901333333333334,9.811071428571429,11.429822915115187,9.102444221784854,7.881669101888255,9.775811686424914,0,10.170771022339663,7.234487810847895,11.502866355417305,10.917529320085583,6.008193759651087,14.778866240728536,10.236961825847759,5.210886522775239,14.639176367867748,10.594972499076412,4.77488848317941,16.061399002065823
2014-01-15,11.786333333333335,9.412238095238095,11.574053942618535,8.967945343044244,7.7396030143697185,9.604325947577575,0,10.531900801613691,7.570071363426349,12.873539529392652,11.032686074940676,6.030935101689645,15.952509986178146,10.36314086787976,5.242398559789315,15.80160888723755,10.615779138131659,4.715141938350566,17.188976575273216
2014-01-16,11.668666666666667,9.127357142857145,11.661311103471903,8.884238185533826,7.764536070972735,9.192804060453065,0,10.547872689317463,7.754979449376476,11.730839527064148,11.109945654779215,6.269592605564611,14.87052564556658,10.384159764194623,5.561431880440335,14.651255972705655,10.640331409226874,5.039582936423086,16.05837466526116
2014-01-17,11.562000000000001,8.996047619047618,11.354532562508567,8.304801587483832,7.339749083865442,8.680871130549187,0,10.070140030787886,7.374669106492911,11.6086131037348,10.622883942522865,6.125741293218667,14.569976448007807,9.906565738537292,5.538816898286303,14.331467003648076,10.104629446539686,5.037107804008775,15.622927194155013
2014-01-18,11.472333333333333,8.889309523809525,11.044456343635584,7.9716698978505995,6.980297566792228,8.402979172499327,0,10.31972078772132,7.709314519892374,11.814933731533358,10.441977782262775,6.033295495635636,14.318421713679463,9.718921381032008,5.477171132900121,14.069333891686234,9.810278266742117,5.0099215779731505,15.326289644985135
2014-01-19,11.772333333333334,8.81054761904762,11.407831810167512,8.380557540819535,7.316820898355122,8.877549022451257,0,10.616939456410542,8.088020258765168,12.17317183468301,10.525565348993412,6.133456845456248,14.435155429002888,9.764412814925837,5.545631999694525,14.155578222517363,9.797434536794292,5.287703268849494,15.310529423729957
