t_unit,lt,A) all,B) no snow,C) no evap
30,true_runoff,1.0,1.0,1.0
30,trueTP,0.34091896700095914,0.38244985364608475,0.3447745641757004
30,climTP_lt1,0.03416371533911611,0.05376752238160265,0.07253587503299674
30,climTP_lt2,-0.12570710566218923,-0.20109472765532543,-0.07508040281724737
30,climTP_lt3,-0.14256101015444145,-0.20972603919853938,-0.0862888363325034
30,climTP_lt4,-0.1511492786205284,-0.24199516201119953,-0.08697606923541201
30,climTP_lt5,-0.1684010264373561,-0.2986509439993399,-0.10511064063457765
