t_unit,lt,A) all,B) no snow,C) no evap
10,true_runoff,1.0,1.0,1.0
10,trueTP,0.682166135835865,0.6548165178388909,0.6594353619666478
10,climTP_lt1,0.6235736158452196,0.582704930424019,0.6003714342389583
10,climTP_lt2,0.4634139805079106,0.40010745313035023,0.44349953888966975
10,climTP_lt3,0.1955865153888967,0.12542317545528892,0.18049888320768626
10,climTP_lt4,0.014513902286542812,-0.01166354211098497,0.021996030285769796
10,climTP_lt5,-0.1079344890311833,-0.0764124221876108,-0.04966520298777111
