t_unit,lt,A) all,B) no snow,C) no evap,D) no snow-runoff
30,true_runoff,1.0,1.0,1.0,1.0
30,runoff_clim,0.3037191532232568,0.3037191532232568,0.3037191532232568,0.3037191532232568
30,trueTP,0.7522643911761879,0.5416886492246289,0.5766279993582113,0.6687200337069126
30,climTP_lt1,0.25970361846857015,0.30331100371672415,0.2906483681186104,0.32933110626305906
30,climTP_lt2,0.08360910202071181,0.20601825318294742,0.19970389658365306,0.21096276702899763
30,climTP_lt3,0.06499267385301055,0.19998716271254968,0.20461000394892614,0.19423897935802414
30,climTP_lt4,0.04704054328071072,0.20154164782299366,0.21267153583218756,0.1813282011654137
30,climTP_lt5,0.011034654883100625,0.19929281186381043,0.21121138309135246,0.1785692929239291
