t_unit,lt,A) all,B) no snow,C) no evap
10,true_runoff,1.0,1.0,1.0
10,runoff_clim,0.3561094554150209,0.3561094554150209,0.3561094554150209
10,trueTP,0.7700799586479716,0.7879698038502865,0.7674975894404885
10,climTP_lt1,0.7271062526144196,0.7529918211717935,0.7306141617543269
10,climTP_lt2,0.6220642218041033,0.6433783473599357,0.629216635325127
10,climTP_lt3,0.4572970329327145,0.4769628542858132,0.462226854738229
10,climTP_lt4,0.34475524585738104,0.38753579657732995,0.3650247084118481
10,climTP_lt5,0.2643390405623899,0.3402620797651116,0.32341060326222026
