t_unit,lt,A) all,B) no snow,C) no evap
10,true_runoff,1.0,1.0,1.0
10,runoff_clim,0.3561094554150209,0.3561094554150209,0.3561094554150209
10,trueTP,0.7780769023279417,0.7874409927914543,0.7738028785328849
10,climTP_lt1,0.7380151433793469,0.7504046117509315,0.7405356421368916
10,climTP_lt2,0.6329407994578983,0.6377496195357235,0.6412766703696954
10,climTP_lt3,0.46890071578418324,0.46845544451125454,0.474801417272668
10,climTP_lt4,0.36655305544552885,0.38138876511833053,0.3794113517805252
10,climTP_lt5,0.2997337248381515,0.3353737879944403,0.3405620087493286
