t_unit,lt,A) all,B) no snow,C) no evap
30,true_runoff,1.0,1.0,1.0
30,runoff_clim,0.6245771735151477,0.6245771735151477,0.6245771735151477
30,trueTP,0.8370455135373207,0.7760845924876374,0.8122610567086858
30,climTP_lt1,0.7281350327341611,0.6621018548960577,0.7248331297120749
30,climTP_lt2,0.6514577265612174,0.5759157424342665,0.6564728822134684
30,climTP_lt3,0.5812638132745911,0.49124254212379015,0.6106939402139929
30,climTP_lt4,0.5366514695605997,0.4333026738016543,0.5837888906213986
30,climTP_lt5,0.48499997272864304,0.3802143232668035,0.5595075838428478
