t_unit,lt,A) all,B) no snow,C) no evap
30,true_runoff,1.0,1.0,1.0
30,runoff_clim,0.37826112811016,0.37826112811016,0.37826112811016
30,trueTP,0.7263765116072918,0.7542788189154455,0.686452009851831
30,climTP_lt1,0.4716580564455404,0.4388841270516781,0.4262680191366994
30,climTP_lt2,0.35682883550403643,0.3044691813835462,0.3615005024806439
30,climTP_lt3,0.3217967525659067,0.14757087381110756,0.37545523913037393
30,climTP_lt4,0.29988116647665186,0.06951832903021016,0.3839265475087439
30,climTP_lt5,0.25902413731302976,0.004207314225263659,0.37665277336568226
