t_unit,lt,A) all,B) no snow,C) no evap
30,true_runoff,1.0,1.0,1.0
30,trueTP,0.5315294169496874,0.3574289675346397,0.49066108314716583
30,climTP_lt1,0.27700976335382743,0.08215441353319974,0.2212399248422764
30,climTP_lt2,-0.043429635659066435,-0.21944393641326387,0.0008978049566965574
30,climTP_lt3,-0.2821490258534043,-0.4834762991931729,-0.15220723146194337
30,climTP_lt4,-0.4242387745336722,-0.6446448683828865,-0.23799699740604585
30,climTP_lt5,-0.5536862973988534,-0.7875443692816753,-0.30752006034971213
