t_unit,lt,A) all,B) no snow,C) no evap
10,true_runoff,1.0,1.0,1.0
10,runoff_clim,0.37826112811016,0.37826112811016,0.37826112811016
10,trueTP,0.688958647128218,0.7377879649794536,0.6532985844693322
10,climTP_lt1,0.6541721378062881,0.6818362188917753,0.624608767397958
10,climTP_lt2,0.551937850216999,0.5578603360546209,0.5240006198275554
10,climTP_lt3,0.39770051019535,0.3839041210030336,0.37603211481646615
10,climTP_lt4,0.34246928565496904,0.3194164567682046,0.3308818790539211
10,climTP_lt5,0.3002379683709768,0.2726752314188279,0.3084215690010187
