t_unit,lt,A) all,B) no snow,C) no evap
30,true_runoff,1.0,1.0,1.0
30,runoff_clim,0.3561094554150209,0.3561094554150209,0.3561094554150209
30,trueTP,0.7235925118892179,0.7573783640997628,0.7384422180966932
30,climTP_lt1,0.38130807266646627,0.43884602385815186,0.46412404552828146
30,climTP_lt2,0.2596040658482063,0.31531298309945544,0.322018904567386
30,climTP_lt3,0.260491451159769,0.31316043221175327,0.32232735944180946
30,climTP_lt4,0.2279565990876703,0.22374319025509581,0.3185264700373993
30,climTP_lt5,0.17739415053771335,0.1312880106656693,0.31395473828717124
