day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,16.18550895206359,2.296902482471691,6.413158469844062,21.503894436173574,43.62247161114366,273.579283972438,266.6505403104993,272.2839951951524,275.65907561971625,277.09808900064655,24.774429885872856,0.036219512195121976,0.6170731707317073,13.981097560975611,150.8353658536586,1.907092847068676,-1.1275540489825717,0.2536343531394424,3.012696235455889,6.807753219958085,27.397602363193766,3.5893990992302025,10.27257801190384,37.62013960964994,69.71859156159118,273.50047027995396,266.5441472417556,272.0993082559024,275.6489575913558,277.0014475810944,27.13175596858231,0.1,0.36363636363636365,14.143181818181818,172.12409090909094,1.6766796865544646,-1.1124334144335795,0.26905127067192025,2.6551848428700002,5.831272338444995,2.77996574861642,0.0022726563574392436,0.02704494181437181,1.5362424346696761,14.160745687459134,273.6046653549983,266.6675996675501,272.3761398832466,275.6420919324643,277.1047790564885,21.056078699743374,0.011400000000000035,0.17600000000000002,10.614,130.73740000000004,2.081379185365849,-1.1183630816197867,0.2625850016482125,3.2624374896080526,7.503764057416976
2,16.329972870476553,2.1906283762750687,6.30985752895466,21.684225655874133,44.713820124958694,273.4654911127787,266.48029835582565,272.1853889244553,275.5515793844929,276.9650994388955,25.035677773373113,0.06304878048780489,0.6048780487804878,14.121951219512194,152.45292682926836,1.9602873404804106,-1.0777971077117445,0.3313327739481301,3.061448078690708,6.770437890583628,24.24772137175938,2.5944331724189165,9.781950607968525,33.12183379433981,66.94562648157864,273.55770404219544,266.5380975217486,272.169362054947,275.68672264888505,276.99480932729745,24.457280676741753,0.23333333333333334,0.5444444444444445,13.366666666666667,154.3883333333334,1.9046085762585987,-1.0478798992730776,0.3944779709417156,2.933379199951796,6.460906897565002,2.2242603133351686,0.0034354131046456793,0.05326720399468681,2.013865899381679,12.301426104890606,273.40021465818893,266.39213259779206,272.1794692555099,275.45921618058486,276.8847038596073,22.22902546555241,0.010961538461538495,0.19615384615384615,11.934615384615388,137.0290384615385,2.082677196088752,-1.0705337183732737,0.32860727498747266,3.244643379967561,7.265495937178985
3,15.50782994644902,2.0644597422907833,5.94173569001242,20.496031395184282,42.90261658716588,273.35838179641473,266.2905151176176,272.0710682764399,275.466987249102,276.86189034453884,25.313611800788667,0.08500000000000002,0.6000000000000001,14.242073170731706,154.10487804878053,1.9887779075018996,-1.04852240930709,0.37348658513519134,3.0933585573950926,6.737820186100535,22.838901071927634,2.6896588563702637,7.678206774006531,32.73336630543263,60.85396258013895,273.39541634785706,266.1689796829465,271.88785688145344,275.64636191229334,276.99277272761543,26.09440914090187,0.014285714285714287,0.39999999999999997,14.571428571428571,160.53500000000008,2.086158975514579,-0.9593369753896184,0.5171479037456918,3.19584902400804,6.5965046124220335,3.495446816242855,0.015102695087666313,0.1721999915321839,2.977777181766419,16.677108855020112,273.21842484015446,266.10591017666553,271.98619782173597,275.3052670080419,276.6939309146447,23.24901319809361,0.013750000000000031,0.22499999999999995,13.124107142857143,142.55142857142863,2.058621034995902,-1.0683657595457656,0.3436661436690876,3.2138888185650814,7.112440627070842
4,15.353827234546337,2.061068147328488,5.804180939451611,20.034582146716467,43.30728236818478,273.23054730128837,266.08822221591754,271.93127273422493,275.36714139069926,276.75732311854836,25.63721129170231,0.09926829268292686,0.6073170731707318,14.417682926829269,155.91317073170737,2.0093651007930604,-1.0365663767311697,0.3900071741555719,3.1253088460773966,6.747764840781466,19.36205050534316,2.735769626539553,8.23576358693787,28.341809759768555,56.76207594085138,273.085140928394,265.72302307139785,271.6205295823601,275.3591927389917,276.6174442952603,26.00534644995723,0.009090909090909092,0.4090909090909091,15.561363636363637,158.0322727272728,1.8783432507335205,-1.0079771859954172,0.3866149771648684,2.9382040838637122,6.15593568833452,3.731349217986246,0.015102695087666313,0.174060281837418,3.2784409192296606,17.02328404114375,273.07620808501906,265.8799793619347,271.8181285243252,275.19919544039755,276.5969607446453,23.580199917625063,0.017962962962962997,0.21481481481481482,13.285185185185185,144.4568518518519,2.1273891763073163,-1.0319886996106995,0.3999447534633167,3.306176374650655,7.179163830241807
5,14.115044603772096,1.763223375219717,5.107808055563932,18.38728057582569,40.70884366015971,273.1425256439457,265.92365275703673,271.82936126172734,275.3019389938027,276.6901380426255,25.940966846794215,0.10414634146341467,0.624390243902439,14.557317073170733,157.684268292683,2.094152432009246,-0.9731556010302931,0.4621282829667985,3.2220071817454117,6.864266305233501,20.576744262867386,2.5144800026427347,7.5788760240773865,25.263773256182716,54.74137806830395,273.1571718856638,266.1317235157677,271.7748490278317,275.31853855625263,276.60610684527967,24.91364025196361,0.009090909090909092,0.4,15.161363636363633,150.28454545454554,1.581308604749654,-1.1129223348952524,0.24035049098937475,2.535903920205909,5.511333080393732,2.487947401940629,0.005454528910292497,0.06322417140953654,1.4200575409687277,12.305093209094041,272.90476364206324,265.5038038947061,271.5583182081306,275.1140316728876,276.50831690632674,23.831435598191376,0.020892857142857175,0.22142857142857145,13.570535714285716,145.64410714285717,2.375471011306407,-0.8912538835619207,0.5851362336442822,3.610446918333081,7.5658930546518945
6,15.298144998813298,1.8513632545199579,5.54103597312865,20.086523178108777,44.023849551399515,273.1388445569854,265.9279956514538,271.83264769476165,275.2965027155641,276.6877608527873,26.290902167789852,0.11390243902439029,0.6707317073170732,14.768292682926829,159.5932926829269,2.125480900578747,-0.9088651008928097,0.5042920426854426,3.248151956035314,6.853517180811197,23.736102817238173,2.514481055230047,8.676806166380857,32.725306198718286,71.34719031487668,274.1753427045131,267.8414225157246,273.15763972384093,276.01329026486917,277.27867662417674,19.182805816937552,0.02,0.54,8.355,118.92300000000004,2.0887208686250687,-0.7633593494583861,0.6148354161097164,3.0517084070443246,6.596271916979224,2.4651748744859683,0.0030737207335239033,0.06322417140953654,1.5572834124862491,10.838499275954277,272.82488042528206,265.4059030104146,271.48595970648046,275.03648531400387,276.4361264276888,23.88377734327264,0.03517857142857146,0.24285714285714285,13.343749999999998,146.49910714285716,2.3587896244695665,-0.8617412838542462,0.5915995599152308,3.5798362893917206,7.478128266338432
7,15.924648710251448,1.8213809399324536,5.6609173638134616,21.10327461996045,46.21504337908759,273.1540844627595,265.9494181471192,271.8588684218556,275.3040032435803,276.7125410708155,26.639767155584302,0.12085365853658543,0.7170731707317073,14.99878048780488,161.5115853658537,2.1059547050739114,-0.896997305787116,0.49726080052363264,3.2092989119176463,6.8215853408400875,26.597370305714676,2.197847032960735,9.624290201176828,38.38416945120225,68.26928362135274,273.56459036464514,266.80250162388126,272.4127353605797,275.5789496498406,276.83974109334093,28.64695710619577,0.21000000000000024,1.157142857142857,20.064285714285713,171.90642857142865,1.668246415457372,-1.0433182333419309,0.24148175183751558,2.6307573835248497,5.9872256061301865,1.6822630582679226,0.0010084383273474867,0.02191367575653052,0.8204972141083492,9.963513207510005,272.79384771322316,265.2994530749814,271.44088271517074,275.0239538343038,276.441046426595,23.011413436862536,0.0,0.11923076923076924,10.60673076923077,145.12557692307698,2.438999724318489,-0.8032598328585703,0.6485189738769124,3.66425534637718,7.64443546304942
8,16.52632435962314,1.9618909519581667,5.739400691641491,22.096367882537056,48.53534184591175,273.1944153030504,265.99036666111823,271.89771735627636,275.34591299409226,276.76031755079373,26.996131778255336,0.12817073170731713,0.7829268292682927,15.235975609756096,163.47329268292688,2.1076742539769757,-0.866904900347379,0.5095731534309255,3.20193745633262,6.796402504558736,29.27956110016294,2.264979701327106,8.425270801667713,39.04485116409451,74.67290318181682,273.46448758178144,266.56994580516863,272.25005793548365,275.5230639297167,276.8598465960942,33.06641954186865,0.18555555555555575,1.6888888888888887,29.51666666666667,174.14000000000007,1.7095907383989781,-1.0225267502396314,0.30633538005366373,2.6888157182872923,5.891219824447518,1.8849720353110366,0.0030842447773378077,0.04437214579255267,1.2550130652800664,10.331091173630261,272.7820404688748,265.2992058943017,271.4298194367467,275.01168850673287,276.45301767590536,22.629497005988025,0.004,0.10800000000000001,9.735000000000001,144.21720000000002,2.4460333969800434,-0.7614492083138592,0.6593194789560475,3.658366547138525,7.655375991960584
9,17.04866577921793,2.0677155197890005,6.000045811907466,22.849017172623327,49.74309515993783,273.24267161470067,266.03155230354207,271.9307018378641,275.40115082011516,276.80048337444015,27.335603705481024,0.12817073170731713,0.8390243902439024,15.470731707317071,165.35414634146346,2.126333506985881,-0.8491405169733036,0.5402123465421007,3.209127916971277,6.80731904692845,24.90082169112883,2.4903017687365248,9.55957213489986,35.04463482437867,74.02810002939452,273.95993276751517,267.58214475870534,272.8735334038227,275.8568278337274,277.2480376649693,30.789536997433707,0.1962500000000002,1.55,28.240624999999998,161.16937500000006,1.7133794089419014,-1.0025485803340473,0.31257081415528876,2.6334882227867102,6.044321324702673,2.184188338861031,0.0035730841630033164,0.061961284255907044,1.2932264292103792,11.262496021363829,272.7695850025455,265.2619544298377,271.4010727219478,275.00890475085646,276.4425750015412,22.639112061591103,0.004,0.11199999999999999,9.532,144.96000000000006,2.4597778219001416,-0.7472402556528733,0.6883732857978236,3.6629077539589256,7.640052237244803
10,17.44525517408753,2.0996982014933505,6.246470891413729,23.409418941840265,50.27356354128737,273.1668614121706,265.8971069716604,271.84894367027096,275.3443930832769,276.73628921909733,27.67082142335538,0.12573170731707325,0.8902439024390244,15.733536585365854,167.20414634146348,2.146925849162243,-0.8303047748737222,0.5674511695231987,3.2343730616350155,6.78286310926552,26.008936706125645,2.7913310735862056,9.12359790480956,36.20172848305638,72.19259059838171,273.60912502048444,266.9163522170878,272.43911254630643,275.61632335838846,277.01034430194915,32.43154940119761,0.2087500000000002,1.95,29.931250000000002,168.15687500000007,1.6939171160075577,-1.0352393099012853,0.27600435318586775,2.6494148933431663,5.96796171113865,1.9069475778097165,0.0028688985393019828,0.05876584081236909,1.5772713687084465,10.87612894833226,272.77319997988155,265.2022956309582,271.3986179847454,275.0332021311112,276.45310583500014,23.040016395779872,0.012500000000000002,0.13749999999999998,9.488541666666668,148.09604166666674,2.5166651086764866,-0.7498604529530657,0.716901916953065,3.753839667798021,7.735094320778256
