day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,34.35359109098649,19.160295199641748,23.67341708687471,43.91238966979225,57.452571046097425,273.21814591088423,270.64525588179777,272.18009531511234,274.1912998107798,274.67262582622175,38.39952931108258,3.3502439024390247,6.3219512195121945,60.41463414634146,142.38536585365853,1.3385106591426945,-0.1605747688802111,0.5713901949464381,1.9925674811418776,3.0053989772939502,48.98163957963653,27.95469258683088,35.60599155768426,61.303986869703536,83.96301711267117,275.42473496142367,272.749007792984,274.43473885506927,276.4081464690969,276.8643656734071,30.212475633528268,3.9111111111111105,5.111111111111111,45.4,114.99777777777778,2.2010935842435537,0.47597708013676304,1.3356921287467536,2.94975439029912,4.037237882493692,12.558133433841906,5.204085973646521,6.514530173218624,17.495590211925933,22.101071212814404,272.34763345096826,269.82593389768266,271.310881184782,273.3107592792152,273.79437482436714,26.21510721247564,0.4077777777777778,0.8500000000000001,42.63888888888889,113.25666666666662,0.510499951499656,-0.8955077504222744,-0.2273966321158939,1.11459194561386,2.1603170712819857
2,36.957027970930405,20.322302574530813,25.245127601154635,47.48150227114167,62.20308806615764,273.04562551318884,270.49647533333007,272.0187254615704,274.00572560078535,274.4778179351982,39.25489944373128,3.4526829268292683,6.463414634146342,61.62682926829268,145.82146341463414,1.3810920744341213,-0.10991178983323414,0.6130273886094126,2.029667594722275,3.048565003356629,48.760197573216516,24.289924818324643,32.51248631510688,63.70094983534955,87.3701247654549,274.53562268103167,271.8896604201839,273.50945412673605,275.51583409584,275.98683643344816,39.752472089314196,4.887272727272727,7.709090909090909,61.118181818181824,143.75272727272724,2.223262972922083,0.5535063385881207,1.3587353586651179,2.9601297203881143,4.007380094655035,14.0001690476767,7.269192395127044,8.459074606378234,19.57672134233358,30.193094652899724,272.80485931302206,270.2533616921551,271.7868563244946,273.7755246361386,274.24630925873544,25.275644994840047,0.4729411764705882,0.8941176470588235,39.55882352941177,109.39882352941174,0.7505534316065657,-0.6856715279235398,-0.0042470317784242,1.3597526415150765,2.42096985905711
3,36.6310166657564,19.805158296357625,24.77035421296232,47.27516826619692,62.20121650465092,272.9167336730205,270.3778675476953,271.9007648863661,273.8684332930825,274.34113912437965,40.08532306375695,3.489268292682927,6.539024390243903,62.880487804878044,149.34878048780487,1.4379515906661178,-0.05552973814287943,0.675493805925319,2.0850587165303702,3.1012797077565275,54.6398176724345,33.35294773424698,39.54926607585062,71.71931872744278,95.46557882153341,273.4836603162342,270.85805940458283,272.4266122942397,274.47063314710977,275.05640763319605,45.60902255639098,7.505714285714285,12.171428571428573,62.685714285714276,149.49142857142854,2.267893014608786,0.6169295427318293,1.4426399648710757,3.020411342348677,3.9855510053474204,14.027837318109736,5.20639105611302,7.342488693448171,19.60979999089157,27.650247979675143,272.25449198552013,269.80364734120684,271.27493053288083,273.17917415146604,273.6549300588885,26.709210526315793,1.206,1.795,42.019999999999996,112.73499999999997,0.5775639365639758,-0.7985962582407731,-0.1450806434158971,1.1522357092468012,2.2122807392963293
4,38.79154108323686,21.228712141362518,26.353651174642458,49.9606962891087,65.58986826395349,272.8126532412696,270.2780513584505,271.807923636255,273.75898684024673,274.23613334187365,40.95721009841677,3.5297560975609756,6.636585365853658,64.1951219512195,153.06634146341463,1.5096520107533362,0.0011091079061728583,0.7428239345253302,2.15930646301548,3.194917030075734,62.283831509494696,34.54189927826848,41.077285991988255,78.13065291686621,100.4817443982691,274.1140251264052,271.0888332528586,272.8478752010904,275.2440530784013,275.82577917687263,47.58035087719299,8.392,13.0,61.36,159.464,3.2674191894343565,1.4380854266763363,2.3834335365701227,4.080951207402976,5.128424105668469,15.156117514637456,5.594992370375436,8.527231399320474,21.769024264257112,30.925811419185173,272.09926835861415,269.8978342683319,271.2369989044529,272.94088450393883,273.39948623303496,40.50087719298246,3.4175,7.225,65.68125000000002,146.22375,0.5759916984982392,-0.761465860017831,-0.16082156646814394,1.1545172206356322,2.2190281835101
5,38.655664073573554,20.854955451801093,26.077134652770038,49.994517478524656,65.94999708768975,272.80325664463595,270.23149574974826,271.7888732383398,273.7630077875297,274.25208122165157,41.763585793752675,3.538048780487805,6.670731707317073,65.45853658536585,156.750243902439,1.641723342466225,0.11112712339344678,0.867255056161668,2.302367067383339,3.3541543227301247,56.507232594305236,29.106906399541295,38.23789920247925,73.93057515048298,96.16366818887262,273.9627988792769,270.74313639866705,272.6350873779537,275.1626583587487,275.76693595917357,41.14877192982456,3.468,6.5200000000000005,58.44,155.308,3.075577504859491,1.3380496295778563,2.272615215472225,3.821629369431971,4.957895112013591,15.379369947020475,7.29657965275096,9.123441201717565,22.05102712657233,31.455502012660606,272.2426452583898,269.8384221527548,271.27330684351267,273.1570653764822,273.6384164082174,43.56371191135734,3.4157894736842116,7.2631578947368425,69.01052631578949,161.7231578947368,0.8847528854804289,-0.5552584759074616,0.11437475124022964,1.519118114020844,2.5546830633867033
6,39.982194793638655,21.54739264875305,26.991138897914066,51.631675342774074,68.15312814912711,272.829435945012,270.2580316756543,271.8198967593676,273.7902446307303,274.288990408579,42.5941377834831,3.5634146341463415,6.719512195121951,66.87073170731706,160.410243902439,1.6414923877341527,0.12608395189801067,0.8642318597895993,2.3040158739219967,3.345328835381297,52.453201904978975,27.76491654691767,34.616182885650716,67.61102812618549,90.7948945301401,273.66846253927724,270.9830980408915,272.6007910608365,274.6952282535344,275.224334977769,65.9517543859649,5.5725,14.012500000000001,107.49999999999999,223.3075,2.0321483009843435,0.47458995832849415,1.256574449952926,2.7148395336787114,3.788043006078296,15.752747248248017,7.584937535775975,10.348606981943881,21.76494326837706,34.614536264538934,272.0680447509299,269.8045032178802,271.1815829590888,272.92047530626644,273.40835471485724,34.042518059855524,3.0423529411764703,4.6000000000000005,53.758823529411764,132.6811764705882,0.6251164855718904,-0.6951238316567291,-0.10572471879989342,1.2024477682815915,2.2428910598359666
7,40.01553071040088,21.573030115310985,27.071325599737637,51.75712798848101,68.1002986571933,272.86993953825504,270.29178752442357,271.86143155459285,273.83284325673094,274.34334900816043,43.367308515190416,3.518048780487805,6.739024390243903,68.14146341463415,164.0409756097561,1.6497063301440598,0.13396952330573242,0.8715065183857562,2.313827753900192,3.3514039409470238,52.59354797898201,29.388053868639577,36.134700997948634,67.50507333050513,88.72056650978057,274.84235685631853,272.31413109766004,273.97428225348006,275.77111232615175,276.20864043083884,39.08881578947368,2.8799999999999994,9.15,61.949999999999996,133.21249999999998,2.2773846352717153,0.6235829216388465,1.4385321619630664,3.0019193860057833,4.149431434724374,15.591665225602855,7.62244418251952,9.66752165173951,20.614958496851514,29.550207576150317,271.8547795129039,269.492590162713,270.8964112635998,272.749344995611,273.27186378413495,40.315692007797274,3.473333333333333,5.394444444444443,66.87222222222222,154.94444444444443,0.7213738732505155,-0.6335416023120181,-0.018555537167997058,1.3206255147356452,2.3344035623515595
8,40.15734917973746,21.51192997452916,27.14633282414639,52.00151091910236,68.39548589909577,272.946882720311,270.3650502706325,271.94232942830837,273.91064624121685,274.4287443459269,44.0851946940522,3.5082926829268293,6.734146341463415,69.26097560975609,167.6063414634146,1.6903837189831494,0.17019629216264448,0.9099422603768946,2.35867367714858,3.4011072206465283,61.5503502137808,33.804254524132254,43.42268196697777,79.16245115094905,98.82244656522526,274.86394835544075,272.09486356914607,273.89168256642387,275.8455677372798,276.279987233724,19.4390977443609,1.6085714285714285,2.971428571428571,26.557142857142857,79.05714285714284,2.703600246777459,1.060412206675464,1.9098484407155747,3.424723265443506,4.486488495064235,13.395924190608977,6.288391874804418,8.842436018589474,17.076902832480826,23.72819581565164,271.70534214658915,269.1928955342643,270.64744097788,272.67412385420016,273.26684351828675,44.30350877192981,3.402222222222223,5.638888888888888,73.1222222222222,170.0533333333333,0.588537417171533,-0.7235146189480635,-0.13987161559377348,1.190488611074639,2.1628142987129158
9,39.788514640605,21.19838096428276,26.8540964910029,51.58119696455508,68.0343966472336,273.00986651494725,270.43733545943485,272.0141046220874,273.97014735007735,274.4891870735485,44.77916131792897,3.5004878048780492,6.765853658536585,70.28048780487805,171.030243902439,1.6992689132357357,0.180264195179884,0.9121669332391872,2.37286339087529,3.4256303460994313,60.32865337527724,32.470197248569214,40.125383046832646,77.33367886682177,97.37783849051839,276.5628655768964,273.7349099171607,275.6284249571301,277.55630122392694,277.99478899630117,23.366959064327485,0.25,0.85,32.4,108.83999999999999,3.2584392062490584,1.3996771455094936,2.3767757375050675,4.077544598128006,5.24730866390659,13.831080981001357,6.621365671310066,9.11215946913071,17.84108160545295,24.297345996696222,271.99224406474866,269.43118680458724,270.93100451014925,272.9730324301313,273.5741726111832,42.220077972709554,3.122222222222222,5.322222222222223,67.17222222222223,165.80777777777777,0.8293659738749368,-0.5836441316052026,0.05768859364927503,1.4731748298612488,2.494992998260589
10,39.18555406222985,21.037852522573218,26.57693486612217,50.650942935301394,66.79540723997786,272.82023515436055,270.2655651284873,271.8247277342422,273.7756839326909,274.30572257396653,45.51476251604621,3.56,6.8585365853658535,71.34146341463415,174.45658536585364,1.709277999435954,0.2260654081827576,0.925578353329089,2.3708478878782575,3.420943154362648,60.46827605300804,30.66392776269218,38.22615470677281,77.43891284578794,101.56351675478315,275.0250243243521,272.3580029766908,274.05332485096534,275.99095923024794,276.44325390238834,44.93458646616541,5.68,8.4,59.34285714285715,178.7885714285714,2.5857875709229496,0.8997826982614299,1.6684835445423911,3.3559794925215636,4.537982320218494,17.907723325588933,8.14688987064061,11.096903356441327,22.734909090028722,30.052226521094763,272.41962185898234,269.85612628930375,271.3887166882264,273.3858597328237,273.951970653628,39.017446393762185,2.8944444444444444,4.822222222222221,61.888888888888886,157.59222222222218,1.2317490884016713,-0.2344115419780976,0.4335411656059751,1.8809617321913297,2.969397348338607
