day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,14.080975038589697,3.1521301542118723,5.358885501050309,18.261597101727347,41.84002446340268,272.0729071994016,264.5200219193688,269.45018005262216,275.30916778434863,276.576707984451,44.37299849991666,0.21682926829268295,1.669512195121951,61.26219512195122,206.32585365853652,2.130897654522114,-1.148201414262144,0.2756633878729619,3.71215083718677,6.730502796246645,21.301924460213414,4.201211204279155,8.232590900014822,28.43944528018524,56.9266791956437,271.4743577299108,263.60577666507396,268.6966457280796,274.91378911617755,276.1497161459346,48.5615522290921,0.1285714285714286,0.5142857142857142,70.17142857142856,218.5042857142856,2.0841841223428927,-1.0237794620387866,0.3812007226691163,3.544226213348751,6.305997478078405,3.8375199391256536,0.030406405038162637,0.1074618184206308,3.785766188620618,12.6033230320127,272.13362776799556,264.52009793613956,269.51491476926253,275.3815468619563,276.6736842745642,40.55769476082005,0.076,1.666,53.42200000000002,197.83359999999993,2.4528789049644875,-1.1160698414510966,0.39954472738366775,4.224786577409026,7.437462498806188
2,14.744483773372126,3.2530191869790213,5.45418656813383,19.074495950236823,44.57631020928027,271.9199122344897,264.31270931428395,269.24894213165,275.1901299224233,276.43989981574896,44.8517028723818,0.21682926829268295,1.6451219512195123,61.767073170731706,208.82439024390234,2.120972917730504,-1.1089847108942503,0.3136641478791666,3.6696430880810023,6.59733013702565,20.045150314265733,4.263653613199959,9.136433484410224,25.297170687742625,67.54409373877183,271.68006906547885,264.0531680806228,269.01512347372466,274.93714423472585,276.1602577831592,50.92902050113894,0.18600000000000003,0.74,76.18,227.9353333333333,1.6680252996729257,-1.2305654487817987,0.07217208832485783,3.01626869422938,5.649434066564441,4.109394027360551,0.045538687071001435,0.3119809683933038,4.828181658551738,17.843165191897867,271.7984828257218,264.13143738792195,269.1498736944649,275.06787802156583,276.3282486901591,42.60246772968869,0.12041666666666667,1.7666666666666666,57.69791666666668,201.26583333333326,2.1317337412553954,-1.1903799064010179,0.24029299831977236,3.7744456145162495,6.781755202260908
3,14.391311193701183,3.082927755066398,5.227597367325286,18.550953249770984,44.25865011993803,271.7694207552914,264.07957978152626,269.0392796918657,275.0981642084858,276.3304789238,45.36264792488472,0.22878048780487806,1.6378048780487806,62.292682926829265,211.35560975609746,2.0980891991701434,-1.1099492394477355,0.32221560622541656,3.6168232096798274,6.505440069196702,18.892112557613935,3.713259680133724,6.708860845901566,24.323768791610505,59.579989475973676,271.34824733064715,263.61496979504756,268.5903477147428,274.72560043168613,275.9321460927772,48.82592791102775,0.2347058823529412,2.6235294117647054,70.9941176470588,213.14058823529408,1.965361735697483,-1.0777974409200288,0.3312975943153542,3.370814943237468,6.025148582252629,4.273896673875699,0.11786046578430819,0.6591373663473034,4.0883726266228075,17.904382010717942,271.6812779066365,263.95560328074373,268.9691681159116,275.00680866229555,276.24663800857184,42.13920728929386,0.043600000000000014,1.6119999999999999,57.575999999999986,199.7499999999999,2.0764382585014634,-1.1889553423562684,0.2587467964717502,3.648682015078159,6.5815318845686654
4,15.117728117904914,2.962935197017033,5.224309901348264,19.558241244814475,47.62158081063509,271.62740382094427,263.8629215132199,268.84760545834916,275.0072312469051,276.23496449398135,45.93530751708428,0.23829268292682926,1.6365853658536584,62.90731707317073,214.08731707317065,2.1528870777878386,-1.0828988167127007,0.3511927505183386,3.6882599567019105,6.591935950617288,18.219366290307732,3.6010760579530663,7.1656652307021815,23.202796342423646,63.28217205530648,271.98898375705755,264.3189129791541,269.2420681635706,275.3227886663011,276.5609811201922,36.91753986332574,0.03277777777777779,1.786111111111111,47.10277777777778,173.54666666666657,2.3902339106445396,-0.925767516232513,0.5783523386430283,3.939146262670249,6.8862917417099645,5.977078218349483,0.11786820682800411,0.5740253982922089,7.12494620236129,27.78046991888803,271.47159109756916,263.64107040473095,268.6918907486144,274.87240014556244,276.0890498333248,40.90402700943704,0.04250000000000002,1.3946428571428573,55.95714285714285,193.01714285714277,2.04234734528936,-1.1440042571310118,0.27450705500572686,3.5611552028345694,6.432917616684072
5,14.049421712085557,2.5558585080954543,4.589664233572388,18.099311972575006,45.80779104544268,271.5153972972473,263.6758663414042,268.68554046970695,274.9527900730628,276.17370610389906,46.47061503416857,0.2407317073170732,1.5926829268292682,63.49634146341463,216.7431707317072,2.250441804011361,-1.0097470555000037,0.4196292549165722,3.8017015774351584,6.741671792115607,18.8032112315934,3.495588537150366,7.069572752711439,25.12535419840026,64.10606614339353,271.7529165049401,263.9234769202305,268.854313197895,275.2527102036634,276.4460646082823,40.692739179954444,0.03687500000000002,0.24375000000000002,57.28750000000001,195.22624999999988,2.2833318780653027,-0.9759030390135118,0.48665125708031703,3.8101416264120256,6.656707116596559,3.541533441118351,0.08450033242620732,0.2610173840423449,2.9662335423497064,19.768592657562507,271.33934621044887,263.44827416869083,268.52059714154194,274.78455061048663,276.004126761205,41.722697038724384,0.032,1.306,56.68400000000001,198.06319999999997,2.185083034420095,-1.0465155241723543,0.3827280918630857,3.7300192137623482,6.648985068317632
6,15.421789928490798,3.0812575282243464,5.409571304357085,19.918643259950862,48.59912883957819,271.52999314045593,263.7015765829248,268.70289472872173,274.95888126528257,276.179073304241,47.004461358964384,0.24560975609756097,1.5402439024390244,64.03780487804879,219.4558536585365,2.3268512288896024,-0.9366572918628028,0.48269367433353577,3.885483399058062,6.844398648353806,25.186752354164657,4.2666656283829525,8.442381398418814,32.781083221238646,70.24527670466465,271.6718216911111,263.7620456100208,268.7062623903764,275.23026758735193,276.3960475799867,47.433507972665154,0.04900000000000002,0.41,69.0,222.64599999999987,2.04911180376297,-1.0552352998369208,0.303314737575489,3.5022371121400773,6.283758884170677,2.8395700728465387,0.014563519304589805,0.0984089688995022,2.304416647532175,13.726881846276637,270.9365909657609,262.86355903888676,268.03234577317585,274.4900333866958,275.6939395323184,44.07215779664527,0.05,1.2977272727272728,58.020454545454555,210.81818181818173,2.252175249188166,-0.9767380511502016,0.45286102265674527,3.798197814860229,6.680757129099167
7,17.100315154328396,3.690767508891508,6.569132998028181,22.139528014668596,51.47869932835883,271.55788485551716,263.7307937470394,268.72784774720907,274.9822817660896,276.2094659762251,47.54919162175677,0.2626829268292683,1.5170731707317073,64.64634146341463,222.24804878048772,2.341396991509908,-0.9015179589359111,0.4960092563546068,3.8959361124139575,6.872567526289127,22.773129225623777,4.2666656283829525,7.796623072307292,31.969691576336714,70.71139852335796,271.6273080891624,263.79947210867493,268.6994833911204,275.1240546530253,276.34988724104744,43.352536757092565,0.23636363636363636,0.9772727272727273,56.43181818181818,203.01636363636354,2.2143035397036384,-0.9524819361434723,0.4311977151285307,3.719552740266842,6.5122167334728145,2.5210863539921244,0.004868377451833163,0.035854159723913155,1.6597335918625467,11.716041631121403,270.8982997023472,262.68067782917285,267.93084716523964,274.5107577806683,275.7298804246001,41.69297446349358,0.0,0.042105263157894736,54.56842105263158,210.7352631578947,2.3938030243178425,-0.8962869033364835,0.5303951039559073,4.003580919210718,6.938844000388028
8,19.18122273434591,4.896379780416221,8.450556281047998,24.604581966854173,54.04649191959883,271.6080313635608,263.769769490954,268.76054253775385,275.04155382407197,276.2751459348432,48.11718984388022,0.27463414634146344,1.5170731707317073,65.27317073170731,225.17365853658526,2.3692830347475122,-0.8646265312806964,0.5171572143783799,3.918480644224092,6.925981736069586,25.660627539224723,6.616330073466385,11.340525508210279,34.174709725138605,73.90364493593243,271.86764007634866,264.1543056439925,269.0399655007494,275.28560370907195,276.5156032901553,46.056524568825246,0.5685714285714286,2.142857142857143,62.59285714285714,203.472857142857,2.141833371805863,-1.0455493555180717,0.30109306830039195,3.6694565502170513,6.587668680289192,3.137230627547453,0.012417920467746075,0.05395700445617691,2.218943743485194,16.143354382442542,270.98286213735804,262.84925960166953,268.0191150571662,274.5676489827609,275.78406885552124,44.67059522630483,0.017391304347826087,0.6978260869565218,59.95652173913044,213.7169565217391,2.27384245834775,-0.884103110076072,0.4781748332011292,3.8055848561874748,6.702976732437706
9,19.492756277373218,5.163966129995017,8.889048480457854,24.95182572574941,53.62249023094698,271.6478864189694,263.7988149920211,268.7805898164615,275.09734784950575,276.3252564301929,48.63831323962442,0.27926829268292686,1.5036585365853659,65.84024390243901,227.9139024390243,2.4115866149825003,-0.8471494234783198,0.5567571827317194,3.962145071136082,6.991262302737443,26.935364163735343,5.141190425233147,7.9157493775467955,34.174709725138605,73.86804501364097,272.7451873892742,265.29040313829853,270.04648442280757,275.9994952593485,277.2433262686863,42.16845102505695,0.63375,2.0625,57.56875,190.2937499999999,2.4792790091134793,-0.8709699252032769,0.5055578353757906,4.113291494810281,7.3099271949496805,3.14235509864113,0.012702693056239776,0.14888024697640453,2.359393835675451,17.617430347580655,270.87864198703556,262.6362106068863,267.8461116353416,274.54243804668715,275.747372541627,42.589472120431815,0.017391304347826087,0.5826086956521739,53.73478260869565,210.76391304347817,2.426943003932762,-0.827681447780769,0.5821130741160973,3.987602779838524,6.951934459688049
10,19.914549929392063,5.567988316133303,9.45379666191395,25.445342670734362,53.36173808100834,271.5702742014311,263.6627743082492,268.67251142734494,275.05011396530546,276.27117656194963,49.165375854214126,0.29634146341463413,1.4902439024390244,66.46219512195121,230.65097560975602,2.427857017606769,-0.8511435033949734,0.5705681758993347,3.983124810287593,6.990536852563374,28.09048574026031,6.5257490756469405,8.927499321040898,38.90786389386497,76.16652043565813,271.70298526653045,264.148372898469,268.9420579011307,275.0154666362704,276.2382114748255,65.20885128538887,0.91,4.364285714285715,86.9857142857143,282.1785714285713,2.585767246915487,-0.8106600868568552,0.637899545892797,4.197998541455876,7.389854246422514,2.452882241621664,0.026787529424003108,0.1533706252695693,2.058578770209164,12.779698822078768,271.0173232566148,262.7748571530611,267.96995987129344,274.6819901626955,275.88819217113155,43.11206253882792,0.0,0.36590909090909085,53.91136363636363,215.7254545454545,2.602348841497714,-0.8000855060627242,0.6705114576939593,4.244951678494999,7.282472510688553
